id_municipio;nome_municipio;status_atendimento
3106200;Belo Horizonte;atendido
3118601;Contagem;atendido
3106705;Betim;atendido
3140704;Mateus Leme;atendido
3154606;Ribeirão das Neves;atendido
3136652;Juatuba;atendido
3147105;Pará de Minas;atendido
3130200;Igaratinga;atendido
3132206;Itaguara;atendido
3114501;Carmópolis de Minas;atendido
3145604;Oliveira;atendido
3133709;Itatiaiuçu;atendido
3133808;Itaúna;atendido
3122306;Divinópolis;atendido
3161809;São Gonçalo do Pará;atendido
3145208;Nova Serrana;atendido
3138203;Lavras;atendido
3159902;Santo Antônio do Amparo;atendido
3149903;Perdões;atendido
3169307;Três Corações;atendido
3113909;Carmo da Cachoeira;atendido
3170701;Varginha;atendido
