ano;REGIAO;uf;tipo_combustivel;id_municipio;municipio;volume_vendas_m3;_ARQUIVO_ORIGEM
2010;REGIÃO NORTE;12;ETANOL;1200013;ACRELANDIA;77000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200054;ASSIS BRASIL;2692000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200104;BRASILEIA;130000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200138;BUJARI;5000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200179;CAPIXABA;109500;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200203;CRUZEIRO DO SUL;70000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200252;EPITACIOLANDIA;137000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200302;FEIJO;20000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200344;MANOEL URBANO;10000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200385;PLACIDO DE CASTRO;58000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200807;PORTO ACRE;199500;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200401;RIO BRANCO;5609532;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200500;SENA MADUREIRA;96000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200450;SENADOR GUIOMARD;251000;ETANOL
2010;REGIÃO NORTE;12;ETANOL;1200708;XAPURI;30000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700102;AGUA BRANCA;192500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700201;ANADIA;175000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700300;ARAPIRACA;5815500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700409;ATALAIA;1099000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700508;BARRA DE SANTO ANTONIO;287000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700607;BARRA DE SAO MIGUEL;375000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700706;BATALHA;122500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2700805;BELEM;40000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701001;BOCA DA MATA;415000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701100;BRANQUINHA;42000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701209;CACIMBINHAS;85000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701308;CAJUEIRO;294500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701357;CAMPESTRE;67500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701407;CAMPO ALEGRE;255000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701506;CAMPO GRANDE;59000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701605;CANAPI;52500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701704;CAPELA;119500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701803;CARNEIROS;35000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2701902;CHA PRETA;5000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702009;COITE DO NOIA;65000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702108;COLONIA LEOPOLDINA;74500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702306;CORURIPE;981000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702355;CRAIBAS;70000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702405;DELMIRO GOUVEIA;682500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702504;DOIS RIACHOS;113500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702553;ESTRELA DE ALAGOAS;88150;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702603;FEIRA GRANDE;40000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702801;FLEXEIRAS;70000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2702900;GIRAU DO PONCIANO;240000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703007;IBATEGUARA;47500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703106;IGACI;175000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703205;IGREJA NOVA;10000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703304;INHAPI;130000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703403;JACARE DOS HOMENS;25000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703502;JACUIPE;20500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703601;JAPARATINGA;115000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703700;JARAMATAIA;70000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703759;JEQUIA DA PRAIA;70000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2703809;JOAQUIM GOMES;48500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704005;JUNQUEIRO;365000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704104;LAGOA DA CANOA;88500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704203;LIMOEIRO DE ANADIA;227500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704302;MACEIO;40354974;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704401;MAJOR ISIDORO;212950;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704500;MARAGOGI;472000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704609;MARAVILHA;50000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704708;MARECHAL DEODORO;3231500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2704807;MARIBONDO;1002500;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705002;MATA GRANDE;85000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705101;MATRIZ DE CAMARAGIBE;319000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705200;MESSIAS;330000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705309;MINADOR DO NEGRAO;21000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705408;MONTEIROPOLIS;50000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705507;MURICI;280000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705606;NOVO LINO;270000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705705;OLHO D'AGUA DAS FLORES;420000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2705804;OLHO D'AGUA DO CASADO;75000;ETANOL
2010;REGIÃO NORDESTE;27;ETANOL;2706000;OLIVENCA;30000;ETANOL
