ANO;REGIAO;UF;COMBUSTIVEL;ID_MUNICIPIO;MUNICIPIO;VOLUME_VENDAS_M3;_ARQUIVO_ORIGEM
2010;REGIÃO NORTE;12;GASOLINA;1200013;ACRELANDIA;1360000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200054;ASSIS BRASIL;3354000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200104;BRASILEIA;1500000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200138;BUJARI;268000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200179;CAPIXABA;898000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200203;CRUZEIRO DO SUL;8988500;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200252;EPITACIOLANDIA;1579001;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200302;FEIJO;965000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200328;JORDAO;65000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200336;MANCIO LIMA;735000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200344;MANOEL URBANO;320000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200351;MARECHAL THAUMATURGO;530000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200385;PLACIDO DE CASTRO;1154000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200807;PORTO ACRE;2741000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200393;PORTO WALTER;155000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200401;RIO BRANCO;61671300;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200427;RODRIGUES ALVES;425000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200500;SENA MADUREIRA;2682000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200450;SENADOR GUIOMARD;3024000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200609;TARAUACA;1580000;GASOLINA
2010;REGIÃO NORTE;12;GASOLINA;1200708;XAPURI;989000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700102;AGUA BRANCA;840000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700201;ANADIA;520000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700300;ARAPIRACA;27348500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700409;ATALAIA;2174500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700508;BARRA DE SANTO ANTONIO;770000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700607;BARRA DE SAO MIGUEL;1244500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700706;BATALHA;1153650;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2700805;BELEM;295000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701001;BOCA DA MATA;925000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701100;BRANQUINHA;143960;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701209;CACIMBINHAS;471500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701308;CAJUEIRO;711000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701357;CAMPESTRE;256500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701407;CAMPO ALEGRE;924000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701506;CAMPO GRANDE;409000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701605;CANAPI;634000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701704;CAPELA;287500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701803;CARNEIROS;395000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2701902;CHA PRETA;96000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702009;COITE DO NOIA;570000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702108;COLONIA LEOPOLDINA;649000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702306;CORURIPE;3289000;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702355;CRAIBAS;638500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702405;DELMIRO GOUVEIA;3681500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702504;DOIS RIACHOS;477500;GASOLINA
2010;REGIÃO NORDESTE;27;GASOLINA;2702553;ESTRELA DE ALAGOAS;424700;GASOLINA
