id_uf;nome_uf;id_regiao_intermediaria;nome_regiao_intermediaria;id_regiao_imediata;nome_regiao_imediata;id_municipio;nome_municipio
11;rondônia;1102;ji-paraná;110005;cacoal;1100015;alta floresta d'oeste
11;rondônia;1102;ji-paraná;110005;cacoal;1100379;alto alegre dos parecis
11;rondônia;1101;porto velho;110002;ariquemes;1100403;alto paraíso
11;rondônia;1102;ji-paraná;110004;ji-paraná;1100346;alvorada d'oeste
11;rondônia;1101;porto velho;110002;ariquemes;1100023;ariquemes
11;rondônia;1101;porto velho;110002;ariquemes;1100452;buritis
11;rondônia;1102;ji-paraná;110006;vilhena;1100031;cabixi
11;rondônia;1101;porto velho;110002;ariquemes;1100601;cacaulândia
11;rondônia;1102;ji-paraná;110005;cacoal;1100049;cacoal
11;rondônia;1101;porto velho;110002;ariquemes;1100700;campo novo de rondônia
11;rondônia;1101;porto velho;110001;porto velho;1100809;candeias do jamari
11;rondônia;1102;ji-paraná;110005;cacoal;1100908;castanheiras
11;rondônia;1102;ji-paraná;110006;vilhena;1100056;cerejeiras
11;rondônia;1102;ji-paraná;110006;vilhena;1100924;chupinguaia
11;rondônia;1102;ji-paraná;110006;vilhena;1100064;colorado do oeste
11;rondônia;1102;ji-paraná;110006;vilhena;1100072;corumbiara
11;rondônia;1102;ji-paraná;110004;ji-paraná;1100080;costa marques
11;rondônia;1101;porto velho;110002;ariquemes;1100940;cujubim
11;rondônia;1102;ji-paraná;110005;cacoal;1100098;espigão d'oeste
11;rondônia;1101;porto velho;110003;jaru;1101005;governador jorge teixeira
11;rondônia;1101;porto velho;110001;porto velho;1100106;guajará-mirim
11;rondônia;1101;porto velho;110001;porto velho;1101104;itapuã do oeste
11;rondônia;1101;porto velho;110003;jaru;1100114;jaru
11;rondônia;1102;ji-paraná;110004;ji-paraná;1100122;ji-paraná
11;rondônia;1101;porto velho;110003;jaru;1100130;machadinho d'oeste
11;rondônia;1102;ji-paraná;110005;cacoal;1101203;ministro andreazza
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101302;mirante da serra
11;rondônia;1101;porto velho;110002;ariquemes;1101401;monte negro
11;rondônia;1102;ji-paraná;110005;cacoal;1100148;nova brasilândia d'oeste
11;rondônia;1101;porto velho;110001;porto velho;1100338;nova mamoré
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101435;nova união
11;rondônia;1102;ji-paraná;110005;cacoal;1100502;novo horizonte do oeste
11;rondônia;1102;ji-paraná;110004;ji-paraná;1100155;ouro preto do oeste
11;rondônia;1102;ji-paraná;110005;cacoal;1101450;parecis
11;rondônia;1102;ji-paraná;110005;cacoal;1100189;pimenta bueno
11;rondônia;1102;ji-paraná;110006;vilhena;1101468;pimenteiras do oeste
11;rondônia;1101;porto velho;110001;porto velho;1100205;porto velho
11;rondônia;1102;ji-paraná;110004;ji-paraná;1100254;presidente médici
11;rondônia;1102;ji-paraná;110005;cacoal;1101476;primavera de rondônia
11;rondônia;1101;porto velho;110002;ariquemes;1100262;rio crespo
11;rondônia;1102;ji-paraná;110005;cacoal;1100288;rolim de moura
11;rondônia;1102;ji-paraná;110005;cacoal;1100296;santa luzia d'oeste
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101500;seringueiras
11;rondônia;1102;ji-paraná;110005;cacoal;1101484;são felipe d'oeste
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101492;são francisco do guaporé
11;rondônia;1102;ji-paraná;110004;ji-paraná;1100320;são miguel do guaporé
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101559;teixeirópolis
11;rondônia;1101;porto velho;110003;jaru;1101609;theobroma
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101708;urupá
11;rondônia;1101;porto velho;110003;jaru;1101757;vale do anari
11;rondônia;1102;ji-paraná;110004;ji-paraná;1101807;vale do paraíso
11;rondônia;1102;ji-paraná;110006;vilhena;1100304;vilhena
12;acre;1201;rio branco;120001;rio branco;1200013;acrelândia
12;acre;1201;rio branco;120002;brasiléia;1200054;assis brasil
12;acre;1201;rio branco;120002;brasiléia;1200104;brasiléia
12;acre;1201;rio branco;120001;rio branco;1200138;bujari
12;acre;1201;rio branco;120001;rio branco;1200179;capixaba
12;acre;1202;cruzeiro do sul;120004;cruzeiro do sul;1200203;cruzeiro do sul
12;acre;1201;rio branco;120002;brasiléia;1200252;epitaciolândia
12;acre;1202;cruzeiro do sul;120005;tarauacá;1200302;feijó
12;acre;1202;cruzeiro do sul;120005;tarauacá;1200328;jordão
12;acre;1201;rio branco;120003;sena madureira;1200344;manoel urbano
12;acre;1202;cruzeiro do sul;120004;cruzeiro do sul;1200351;marechal thaumaturgo
12;acre;1202;cruzeiro do sul;120004;cruzeiro do sul;1200336;mâncio lima
12;acre;1201;rio branco;120001;rio branco;1200385;plácido de castro
12;acre;1201;rio branco;120001;rio branco;1200807;porto acre
12;acre;1202;cruzeiro do sul;120004;cruzeiro do sul;1200393;porto walter
12;acre;1201;rio branco;120001;rio branco;1200401;rio branco
12;acre;1202;cruzeiro do sul;120004;cruzeiro do sul;1200427;rodrigues alves
12;acre;1201;rio branco;120003;sena madureira;1200435;santa rosa do purus
12;acre;1201;rio branco;120003;sena madureira;1200500;sena madureira
12;acre;1201;rio branco;120001;rio branco;1200450;senador guiomard
12;acre;1202;cruzeiro do sul;120005;tarauacá;1200609;tarauacá
12;acre;1201;rio branco;120002;brasiléia;1200708;xapuri
13;amazonas;1302;tefé;130005;tefé;1300029;alvarães
13;amazonas;1302;tefé;130006;tabatinga;1300060;amaturá
13;amazonas;1301;manaus;130004;manacapuru;1300086;anamã
13;amazonas;1301;manaus;130003;coari;1300102;anori
13;amazonas;1303;lábrea;130009;manicoré;1300144;apuí
13;amazonas;1302;tefé;130006;tabatinga;1300201;atalaia do norte
13;amazonas;1301;manaus;130001;manaus;1300300;autazes
13;amazonas;1301;manaus;130002;são gabriel da cachoeira;1300409;barcelos
13;amazonas;1304;parintins;130010;parintins;1300508;barreirinha
13;amazonas;1302;tefé;130006;tabatinga;1300607;benjamin constant
13;amazonas;1301;manaus;130003;coari;1300631;beruri
13;amazonas;1304;parintins;130010;parintins;1300680;boa vista do ramos
13;amazonas;1303;lábrea;130008;lábrea;1300706;boca do acre
13;amazonas;1301;manaus;130001;manaus;1300805;borba
13;amazonas;1301;manaus;130004;manacapuru;1300839;caapiranga
13;amazonas;1303;lábrea;130008;lábrea;1300904;canutama
13;amazonas;1302;tefé;130005;tefé;1301001;carauari
13;amazonas;1301;manaus;130001;manaus;1301100;careiro
13;amazonas;1301;manaus;130001;manaus;1301159;careiro da várzea
13;amazonas;1301;manaus;130003;coari;1301209;coari
13;amazonas;1301;manaus;130003;coari;1301308;codajás
13;amazonas;1302;tefé;130007;eirunepé;1301407;eirunepé
13;amazonas;1302;tefé;130007;eirunepé;1301506;envira
13;amazonas;1302;tefé;130005;tefé;1301605;fonte boa
13;amazonas;1302;tefé;130007;eirunepé;1301654;guajará
13;amazonas;1303;lábrea;130009;manicoré;1301704;humaitá
13;amazonas;1302;tefé;130007;eirunepé;1301803;ipixuna
13;amazonas;1301;manaus;130001;manaus;1301852;iranduba
13;amazonas;1304;parintins;130011;itacoatiara;1301902;itacoatiara
13;amazonas;1302;tefé;130007;eirunepé;1301951;itamarati
13;amazonas;1304;parintins;130011;itacoatiara;1302009;itapiranga
13;amazonas;1302;tefé;130005;tefé;1302108;japurá
13;amazonas;1302;tefé;130005;tefé;1302207;juruá
13;amazonas;1302;tefé;130005;tefé;1302306;jutaí
13;amazonas;1303;lábrea;130008;lábrea;1302405;lábrea
13;amazonas;1301;manaus;130004;manacapuru;1302504;manacapuru
13;amazonas;1301;manaus;130001;manaus;1302553;manaquiri
13;amazonas;1301;manaus;130001;manaus;1302603;manaus
13;amazonas;1303;lábrea;130009;manicoré;1302702;manicoré
13;amazonas;1302;tefé;130005;tefé;1302801;maraã
13;amazonas;1304;parintins;130010;parintins;1302900;maués
13;amazonas;1304;parintins;130010;parintins;1303007;nhamundá
13;amazonas;1301;manaus;130001;manaus;1303106;nova olinda do norte
13;amazonas;1301;manaus;130004;manacapuru;1303205;novo airão
13;amazonas;1303;lábrea;130009;manicoré;1303304;novo aripuanã
13;amazonas;1304;parintins;130010;parintins;1303403;parintins
13;amazonas;1303;lábrea;130008;lábrea;1303502;pauini
13;amazonas;1301;manaus;130001;manaus;1303536;presidente figueiredo
13;amazonas;1301;manaus;130001;manaus;1303569;rio preto da eva
13;amazonas;1301;manaus;130002;são gabriel da cachoeira;1303601;santa isabel do rio negro
13;amazonas;1302;tefé;130006;tabatinga;1303700;santo antônio do içá
13;amazonas;1304;parintins;130011;itacoatiara;1304005;silves
13;amazonas;1301;manaus;130002;são gabriel da cachoeira;1303809;são gabriel da cachoeira
13;amazonas;1302;tefé;130006;tabatinga;1303908;são paulo de olivença
13;amazonas;1304;parintins;130011;itacoatiara;1303957;são sebastião do uatumã
13;amazonas;1302;tefé;130006;tabatinga;1304062;tabatinga
13;amazonas;1303;lábrea;130008;lábrea;1304104;tapauá
13;amazonas;1302;tefé;130005;tefé;1304203;tefé
13;amazonas;1302;tefé;130006;tabatinga;1304237;tonantins
13;amazonas;1302;tefé;130005;tefé;1304260;uarini
13;amazonas;1304;parintins;130011;itacoatiara;1304302;urucará
13;amazonas;1304;parintins;130011;itacoatiara;1304401;urucurituba
14;roraima;1401;boa vista;140001;boa vista;1400050;alto alegre
14;roraima;1401;boa vista;140002;pacaraima;1400027;amajari
14;roraima;1401;boa vista;140001;boa vista;1400100;boa vista
14;roraima;1401;boa vista;140001;boa vista;1400159;bonfim
14;roraima;1401;boa vista;140001;boa vista;1400175;cantá
14;roraima;1402;rorainópolis - caracaraí;140004;caracaraí;1400209;caracaraí
14;roraima;1402;rorainópolis - caracaraí;140003;rorainópolis;1400233;caroebe
14;roraima;1402;rorainópolis - caracaraí;140004;caracaraí;1400282;iracema
14;roraima;1401;boa vista;140001;boa vista;1400308;mucajaí
14;roraima;1401;boa vista;140002;pacaraima;1400407;normandia
14;roraima;1401;boa vista;140002;pacaraima;1400456;pacaraima
14;roraima;1402;rorainópolis - caracaraí;140003;rorainópolis;1400472;rorainópolis
14;roraima;1402;rorainópolis - caracaraí;140003;rorainópolis;1400506;são joão da baliza
14;roraima;1402;rorainópolis - caracaraí;140003;rorainópolis;1400605;são luiz
14;roraima;1401;boa vista;140002;pacaraima;1400704;uiramutã
15;pará;1501;belém;150003;abaetetuba;1500107;abaetetuba
15;pará;1503;marabá;150009;marabá;1500131;abel figueiredo
15;pará;1501;belém;150001;belém;1500206;acará
15;pará;1507;breves;150020;breves;1500305;afuá
15;pará;1505;santarém;150015;santarém;1500404;alenquer
15;pará;1506;altamira;150019;almeirim - porto de moz;1500503;almeirim
15;pará;1506;altamira;150018;altamira;1500602;altamira
15;pará;1507;breves;150020;breves;1500701;anajás
15;pará;1501;belém;150001;belém;1500800;ananindeua
15;pará;1506;altamira;150018;altamira;1500859;anapu
15;pará;1502;castanhal;150005;bragança;1500909;augusto corrêa
15;pará;1502;castanhal;150007;paragominas;1500958;aurora do pará
15;pará;1505;santarém;150016;itaituba;1501006;aveiro
15;pará;1507;breves;150020;breves;1501105;bagre
15;pará;1503;marabá;150011;tucuruí;1501204;baião
15;pará;1504;redenção;150012;redenção;1501253;bannach
15;pará;1501;belém;150001;belém;1501303;barcarena
15;pará;1505;santarém;150015;santarém;1501451;belterra
15;pará;1501;belém;150001;belém;1501402;belém
15;pará;1501;belém;150001;belém;1501501;benevides
15;pará;1503;marabá;150009;marabá;1501576;bom jesus do tocantins
15;pará;1502;castanhal;150006;capanema;1501600;bonito
15;pará;1502;castanhal;150005;bragança;1501709;bragança
15;pará;1506;altamira;150018;altamira;1501725;brasil novo
15;pará;1503;marabá;150009;marabá;1501758;brejo grande do araguaia
15;pará;1503;marabá;150011;tucuruí;1501782;breu branco
15;pará;1507;breves;150020;breves;1501808;breves
15;pará;1501;belém;150001;belém;1501907;bujaru
15;pará;1507;breves;150021;soure-salvaterra;1502004;cachoeira do arari
15;pará;1502;castanhal;150005;bragança;1501956;cachoeira do piriá
15;pará;1501;belém;150002;cametá;1502103;cametá
15;pará;1503;marabá;150010;parauapebas;1502152;canaã dos carajás
15;pará;1502;castanhal;150006;capanema;1502202;capanema
15;pará;1502;castanhal;150008;capitão poço;1502301;capitão poço
15;pará;1502;castanhal;150004;castanhal;1502400;castanhal
15;pará;1507;breves;150020;breves;1502509;chaves
15;pará;1501;belém;150001;belém;1502608;colares
15;pará;1504;redenção;150012;redenção;1502707;conceição do araguaia
15;pará;1501;belém;150001;belém;1502756;concórdia do pará
15;pará;1504;redenção;150012;redenção;1502764;cumaru do norte
15;pará;1503;marabá;150010;parauapebas;1502772;curionópolis
15;pará;1507;breves;150020;breves;1502806;curralinho
15;pará;1505;santarém;150017;oriximiná;1502855;curuá
15;pará;1502;castanhal;150004;castanhal;1502905;curuçá
15;pará;1502;castanhal;150007;paragominas;1502939;dom eliseu
15;pará;1503;marabá;150010;parauapebas;1502954;eldorado do carajás
15;pará;1505;santarém;150017;oriximiná;1503002;faro
15;pará;1504;redenção;150012;redenção;1503044;floresta do araguaia
15;pará;1502;castanhal;150008;capitão poço;1503077;garrafão do norte
15;pará;1503;marabá;150011;tucuruí;1503093;goianésia do pará
15;pará;1507;breves;150020;breves;1503101;gurupá
15;pará;1502;castanhal;150004;castanhal;1503200;igarapé-açu
15;pará;1501;belém;150003;abaetetuba;1503309;igarapé-miri
15;pará;1502;castanhal;150004;castanhal;1503408;inhangapi
15;pará;1502;castanhal;150007;paragominas;1503457;ipixuna do pará
15;pará;1502;castanhal;150004;castanhal;1503507;irituia
15;pará;1505;santarém;150016;itaituba;1503606;itaituba
15;pará;1503;marabá;150009;marabá;1503705;itupiranga
15;pará;1505;santarém;150016;itaituba;1503754;jacareacanga
15;pará;1503;marabá;150009;marabá;1503804;jacundá
15;pará;1505;santarém;150017;oriximiná;1503903;juruti
15;pará;1501;belém;150002;cametá;1504000;limoeiro do ajuru
15;pará;1502;castanhal;150004;castanhal;1504109;magalhães barata
15;pará;1503;marabá;150009;marabá;1504208;marabá
15;pará;1502;castanhal;150004;castanhal;1504307;maracanã
15;pará;1502;castanhal;150004;castanhal;1504406;marapanim
15;pará;1501;belém;150001;belém;1504422;marituba
15;pará;1506;altamira;150018;altamira;1504455;medicilândia
15;pará;1507;breves;150020;breves;1504505;melgaço
15;pará;1501;belém;150002;cametá;1504604;mocajuba
15;pará;1501;belém;150003;abaetetuba;1504703;moju
15;pará;1505;santarém;150015;santarém;1504752;mojuí dos campos
15;pará;1505;santarém;150015;santarém;1504802;monte alegre
15;pará;1507;breves;150021;soure-salvaterra;1504901;muaná
15;pará;1502;castanhal;150007;paragominas;1504059;mãe do rio
15;pará;1502;castanhal;150008;capitão poço;1504950;nova esperança do piriá
15;pará;1503;marabá;150009;marabá;1504976;nova ipixuna
15;pará;1502;castanhal;150006;capanema;1505007;nova timboteua
15;pará;1505;santarém;150016;itaituba;1505031;novo progresso
15;pará;1503;marabá;150011;tucuruí;1505064;novo repartimento
15;pará;1501;belém;150002;cametá;1505205;oeiras do pará
15;pará;1505;santarém;150017;oriximiná;1505304;oriximiná
15;pará;1504;redenção;150013;tucumã - são félix do xingu;1505437;ourilândia do norte
15;pará;1502;castanhal;150008;capitão poço;1505403;ourém
15;pará;1503;marabá;150011;tucuruí;1505486;pacajá
15;pará;1503;marabá;150009;marabá;1505494;palestina do pará
15;pará;1502;castanhal;150007;paragominas;1505502;paragominas
15;pará;1503;marabá;150010;parauapebas;1505536;parauapebas
15;pará;1504;redenção;150012;redenção;1505551;pau d'arco
15;pará;1502;castanhal;150006;capanema;1505601;peixe-boi
15;pará;1503;marabá;150009;marabá;1505635;piçarra
15;pará;1505;santarém;150016;itaituba;1505650;placas
15;pará;1507;breves;150021;soure-salvaterra;1505700;ponta de pedras
15;pará;1507;breves;150020;breves;1505809;portel
15;pará;1506;altamira;150019;almeirim - porto de moz;1505908;porto de moz
15;pará;1505;santarém;150015;santarém;1506005;prainha
15;pará;1502;castanhal;150006;capanema;1506104;primavera
15;pará;1502;castanhal;150006;capanema;1506112;quatipuru
15;pará;1504;redenção;150012;redenção;1506138;redenção
15;pará;1504;redenção;150014;xinguara;1506161;rio maria
15;pará;1503;marabá;150009;marabá;1506187;rondon do pará
15;pará;1505;santarém;150016;itaituba;1506195;rurópolis
15;pará;1502;castanhal;150006;capanema;1506203;salinópolis
15;pará;1507;breves;150021;soure-salvaterra;1506302;salvaterra
15;pará;1501;belém;150001;belém;1506351;santa bárbara do pará
15;pará;1507;breves;150021;soure-salvaterra;1506401;santa cruz do arari
15;pará;1501;belém;150001;belém;1506500;santa izabel do pará
