ano;id_municipio;pib;pib_per_capita;vab_total;vab_agropecuaria;vab_industria;vab_servicos;vab_adm_publica;atividade_1;atividade_2;atividade_3
2010;1100015;262076.878;10731.18;241119.767;69260.391;16118.534;62496.185;93244.656;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100023;1364693.78;15103.86;1199664.227;73711.643;287138.585;494946.267;343867.731;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1100031;69611.114;11033.62;65400.772;24300.822;3252.506;12677.21;25170.235;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100049;1186494.091;15095.15;1041212.374;95259.203;182051.537;465447.325;298454.309;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1100056;222021.189;13037.06;192454.16;28976.415;19734.484;80724.991;63018.27;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1100064;193092.596;10380.21;176263.775;35817.583;18305.912;54678.238;67462.041;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1100072;114768.272;13038.89;108755.67;51205.533;7946.464;15590.944;34012.729;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1100080;107583.052;7852.78;101489.674;19816.241;7732.292;22863.415;51077.726;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100098;311787.835;10848.19;281227.489;56432.947;34215.342;88492.279;102086.922;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1100106;598167.052;14363.13;471668.441;18630.443;22950.667;273295.234;156792.097;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1100114;797296.433;15319.96;708850.008;103000.873;151693.022;262583.715;191572.396;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2010;1100122;1855358.695;15913.94;1585193.164;72552.843;317328.199;784713.851;410598.27;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2010;1100130;272200.914;8750.47;253115.977;58163.619;24630.778;58462.53;111859.05;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100148;173651.29;8750.38;160646.803;37228.535;10915.632;39380.604;73122.032;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1100155;477501.323;12585.36;429522.76;77935.249;46098.252;161802.586;143686.672;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1100189;540861.562;16023.63;452129.957;36970.636;91904.143;201280.193;121974.985;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1100205;9093823.824;21319.08;7787891.232;183896.881;2648995.951;3337276.471;1617721.93;Demais serviços;Construção;Administração, defesa, educação e saúde públicas e seguridade social
2010;1100254;235588.861;10555.53;215070.549;50118.072;20024.023;62352.32;82576.134;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100262;41934.024;12645.97;39870.838;18631.71;2605.59;3949.819;14683.719;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1100288;627848.22;12390.44;559256.152;45477.03;100574.664;224638.449;188566.01;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1100296;98818.321;11120.68;93204.146;27568.193;16087.47;16202.064;33346.42;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100304;1447187.301;18995.2;1226824.773;45616.397;266174.913;617147.779;297885.684;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
2010;1100320;324475.914;14867.85;300065.167;69712.908;84835.013;63419.944;82097.303;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços
2010;1100338;218431.236;9685.67;204202.787;62857.472;22139.216;36734.998;82471.101;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100346;160688.809;9528.51;148499.7;45707.42;8247.579;31598.746;62945.955;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100379;119974.008;9353.97;112515.51;36601.462;7181.611;19891.73;48840.706;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1100403;152235.166;8879.79;142115.804;39911.485;7212.869;30462.892;64528.557;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100452;336264.863;10383.35;306512.453;73365.27;34988.916;83316.347;114841.92;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100502;95420.086;9321.1;89714.496;29924.03;6205.459;16453.591;37131.416;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100601;76700.806;13392.84;72826.302;37438.697;2840.184;8660.257;23887.165;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1100700;120440.101;9506.68;115115.352;41915.955;12640.461;12987.809;47571.127;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100809;228321.486;11541.88;213557.922;24596.831;73256.408;42574.562;73130.12;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços
2010;1100908;39936.323;11152.28;37875.747;16323.029;1299.091;4075.366;16178.26;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1100924;165716.351;19956.21;154749.726;45081.445;37017.951;34750.299;37900.031;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Indústrias de transformação
2010;1100940;210217.76;13243.73;195842.342;21895.992;75835.22;39323.131;58787.998;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1101005;111130.032;10570.72;105780.303;48924.392;3848.962;11148.369;41858.579;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1101104;90690.484;10593.45;84280.596;18231.318;13767.22;18356.765;33925.293;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1101203;99692.423;9628.4;90742.172;26704.061;4156.169;19584.411;40297.532;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101302;114868.695;9678.04;108139.925;26466.635;11965.76;25394.017;44313.513;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101401;143416.702;10178.62;135029.213;36157.208;20216.733;24584.422;54070.85;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101435;70738.614;9434.33;67385.51;28743.412;2699.809;7168.644;28773.645;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101450;49986.237;10392.15;47312.917;18596.962;3307.731;6233.927;19174.297;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101468;43812.047;18868.24;41648.817;23044.189;1889.081;4682.888;12032.659;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1101476;35105.453;9964.65;33488.607;11494.481;2125.676;4319.312;15549.137;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101484;58726.974;9758.55;55904.879;21959.4;2131.064;7742.075;24072.34;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101492;173609.634;10837.73;161301.1;51831.667;12369.709;35417.488;61682.236;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101500;117280.833;10067.89;108330.407;32551.922;9383.341;21990.119;44405.025;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101559;50001.145;10218.91;47173.422;17942.175;3346.051;6483.099;19402.096;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101609;105535.46;9915.02;100704.842;46691.318;4124.998;9698.285;40190.24;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101708;121359.369;9357.65;113915.113;37342.075;6954.417;20848.439;48770.182;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101757;91480.288;9772.49;86875.897;35400.135;3401.48;11748.656;36325.626;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1101807;89262.956;10861.88;84518.113;37552.532;3386.808;11070.716;32508.057;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1200013;121914.728;9723.62;118703.866;47610.643;7789.309;14441.426;48862.488;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200054;42017.446;6916.45;40803.033;8971.018;1319.734;6147.091;24365.189;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200104;190698.905;8895.37;175960.829;39867.601;14309.999;41106.334;80676.895;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1200138;86264.957;10179.96;84996.259;42108.149;2967.997;7355.786;32564.327;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200179;108531.092;12319.08;104372.356;41125.3;19178.534;10229.447;33839.075;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
2010;1200203;771040.223;9829.18;705591.598;73861.295;69820.328;275200.116;286709.858;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1200252;144997.034;9585.95;134573.15;21332.83;12323.446;44682.026;56234.849;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1200302;200520.809;6205.96;194844.165;32449.099;14853.672;24541.989;122999.404;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200328;41233.997;6313.58;40573.822;5925.382;1048.996;3740.667;29858.777;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1200336;95418.696;6258.61;94072.122;17338.575;5591.098;11256.049;59886.4;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1200344;55802.854;6984.96;52974.494;10298.269;1805.702;6821.727;34048.796;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200351;96004.931;6760.91;94743.707;22887.603;2904.589;8036.829;60914.687;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1200385;132632.661;7709.86;130476.077;40249.338;4287.337;16952.863;68986.54;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200393;60317.594;6576.28;59503.412;14991.297;2401.661;5541.802;36568.652;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1200401;5125851.32;15264.78;4493340.102;74507.435;879741.7;2294596.068;1244494.899;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2010;1200427;124221.492;8666.21;122562.638;49775.498;6120.901;11468.465;55197.774;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1200435;35855.183;7774.32;34807.031;4929.441;873.667;6727.011;22276.912;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2010;1200450;184619.609;9160.9;174883.419;47659.0;16379.324;33912.93;76932.165;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1200500;264528.129;6962.55;257205.644;66705.107;11152.305;42200.96;137147.272;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200609;227962.514;6416.78;222255.414;45545.28;7216.734;35689.744;133803.656;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1200708;117259.888;7321.42;115225.478;37762.819;3802.178;14605.075;59055.406;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1200807;114661.461;7744.26;112085.388;38473.737;5732.373;11558.252;56321.025;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300029;58364.675;4145.22;57457.203;10882.708;1922.692;7284.054;37367.749;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300060;36940.837;3825.29;36285.957;4456.368;1212.241;5043.997;25573.352;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300086;51913.34;5093.04;49773.049;13941.611;1880.466;6578.494;27372.478;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1300102;64424.012;3955.06;63274.641;11822.382;2453.054;10325.546;38673.659;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300144;104517.786;5787.57;105450.248;34296.819;5266.58;19655.462;46231.388;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2010;1300201;68895.572;4547.86;67627.311;11408.692;2480.977;13007.798;40729.844;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300300;154784.984;4855.85;150920.483;41343.091;5562.99;21487.01;82527.392;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1300409;93662.831;3642.34;92197.179;8823.459;5595.596;13357.351;64420.772;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2010;1300508;117982.694;4312.08;114435.2;21194.639;3709.43;18394.278;71136.854;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300607;137141.139;4107.13;133959.507;21925.734;5551.723;22230.125;84251.926;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300631;74007.77;4774.69;72538.671;15078.523;2704.725;11543.18;43212.242;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300680;55075.769;3691.16;54134.044;8342.04;1613.255;7459.513;36719.236;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1300706;151888.738;5083.29;147261.75;28060.794;14198.987;30586.767;74415.202;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1300805;156531.951;4543.48;152956.603;37503.094;6053.735;24208.026;85191.747;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1300839;66860.598;6128.94;62538.393;20627.062;2699.747;8604.986;30606.598;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1300904;49393.637;3881.01;48268.929;5327.39;1675.662;8301.25;32964.626;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1301001;129697.447;5046.59;126639.336;33952.364;7069.387;25276.335;60341.25;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1301100;143726.596;4404.6;140243.031;31556.341;7981.131;19560.829;81144.73;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1301159;188022.504;7846.37;184585.554;105539.871;7434.015;14047.015;57564.653;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1301209;1998793.445;26331.44;1905748.016;66105.051;1228576.074;365750.16;245316.73;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2010;1301308;120603.174;5216.63;113060.875;38429.272;5065.267;15906.595;53659.742;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1301407;151776.997;4949.36;149475.399;43831.914;6389.077;25345.886;73908.521;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2010;1301506;71690.248;4390.63;71085.916;15838.82;2755.272;11152.012;41339.813;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1301605;95661.969;4221.81;94065.063;16949.94;3409.434;14772.805;58932.884;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1301654;51645.72;3669.58;50977.366;8426.256;1390.682;7372.588;33787.841;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2010;1301704;217550.061;4931.32;208642.251;29015.439;12755.354;62358.184;104513.274;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2010;1301803;69653.712;3137.7;68780.16;8063.281;1938.365;8439.441;50339.074;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1301852;306445.629;7522.91;289180.767;87087.463;33343.111;60229.359;108520.834;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1301902;849636.545;9783.93;786574.886;143098.093;146818.04;267345.714;229313.039;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2010;1301951;42984.727;5346.36;42100.029;12455.948;1744.116;5980.789;21919.176;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2010;1302009;82028.98;10003.53;77624.883;7713.631;36352.401;12428.754;21130.097;Construção;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2010;1302108;32589.772;4471.09;31718.41;5448.131;1050.049;4115.578;21104.651;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
