id_municipio;nome_municipio;id_uf;nome_uf;id_regiao_imediata;nome_regiao_imediata;id_regiao_intermediaria;nome_regiao_intermediaria;latitude;longitude;status_atendimento
1100452;Buritis;11;Rondônia;110002;Ariquemes;1101;Porto Velho;-10.1943;-63.8324;fora_do_escopo
1100908;Castanheiras;11;Rondônia;110005;Cacoal;1102;Ji-Paraná;-11.4253;-61.9482;fora_do_escopo
1101005;Governador Jorge Teixeira;11;Rondônia;110003;Jaru;1101;Porto Velho;-10.61;-62.7371;fora_do_escopo
1101104;Itapuã do Oeste;11;Rondônia;110001;Porto Velho;1101;Porto Velho;-9.19687;-63.1809;fora_do_escopo
1101757;Vale do Anari;11;Rondônia;110003;Jaru;1101;Porto Velho;-9.86215;-62.1876;fora_do_escopo
1200013;Acrelândia;12;Acre;120001;Rio Branco;1201;Rio Branco;-9.82581;-66.8972;fora_do_escopo
1200104;Brasiléia;12;Acre;120002;Brasiléia;1201;Rio Branco;-10.995;-68.7497;fora_do_escopo
1200328;Jordão;12;Acre;120005;Tarauacá;1202;Cruzeiro do Sul;-9.1908;-71.9503;fora_do_escopo
1200344;Manoel Urbano;12;Acre;120003;Sena Madureira;1201;Rio Branco;-8.83291;-69.2679;fora_do_escopo
1200435;Santa Rosa do Purus;12;Acre;120003;Sena Madureira;1201;Rio Branco;-9.44652;-70.4902;fora_do_escopo
1200708;Xapuri;12;Acre;120002;Brasiléia;1201;Rio Branco;-10.6516;-68.4969;fora_do_escopo
1300060;Amaturá;13;Amazonas;130006;Tabatinga;1302;Tefé;-3.37455;-68.2005;fora_do_escopo
1300904;Canutama;13;Amazonas;130008;Lábrea;1303;Lábrea;-6.52582;-64.3953;fora_do_escopo
1301506;Envira;13;Amazonas;130007;Eirunepé;1302;Tefé;-7.43789;-70.0281;fora_do_escopo
1302108;Japurá;13;Amazonas;130005;Tefé;1302;Tefé;-1.88237;-66.9291;fora_do_escopo
1302603;Manaus;13;Amazonas;130001;Manaus;1301;Manaus;-3.11866;-60.0212;fora_do_escopo
1302702;Manicoré;13;Amazonas;130009;Manicoré;1303;Lábrea;-5.80462;-61.2895;fora_do_escopo
1303601;Santa Isabel do Rio Negro;13;Amazonas;130002;São Gabriel da Cachoeira;1301;Manaus;-0.410824;-65.0092;fora_do_escopo
1304005;Silves;13;Amazonas;130011;Itacoatiara;1304;Parintins;-2.81748;-58.248;fora_do_escopo
1303809;São Gabriel da Cachoeira;13;Amazonas;130002;São Gabriel da Cachoeira;1301;Manaus;-0.11909;-67.084;fora_do_escopo
1400027;Amajari;14;Roraima;140002;Pacaraima;1401;Boa Vista;3.64571;-61.3692;fora_do_escopo
1400175;Cantá;14;Roraima;140001;Boa Vista;1401;Boa Vista;2.60994;-60.6058;fora_do_escopo
1400209;Caracaraí;14;Roraima;140004;Caracaraí;1402;Rorainópolis - Caracaraí;1.82766;-61.1304;fora_do_escopo
1500404;Alenquer;15;Pará;150015;Santarém;1505;Santarém;-1.94623;-54.7384;fora_do_escopo
1502400;Castanhal;15;Pará;150004;Castanhal;1502;Castanhal;-1.29797;-47.9167;fora_do_escopo
1502764;Cumaru do Norte;15;Pará;150012;Redenção;1504;Redenção;-7.81097;-50.7698;fora_do_escopo
1502905;Curuçá;15;Pará;150004;Castanhal;1502;Castanhal;-0.733214;-47.8515;fora_do_escopo
1503606;Itaituba;15;Pará;150016;Itaituba;1505;Santarém;-4.2667;-55.9926;fora_do_escopo
1503804;Jacundá;15;Pará;150009;Marabá;1503;Marabá;-4.44617;-49.1153;fora_do_escopo
1504307;Maracanã;15;Pará;150004;Castanhal;1502;Castanhal;-0.778899;-47.452;fora_do_escopo
1504406;Marapanim;15;Pará;150004;Castanhal;1502;Castanhal;-0.714702;-47.7034;fora_do_escopo
1504455;Medicilândia;15;Pará;150018;Altamira;1506;Altamira;-3.44637;-52.8875;fora_do_escopo
1504505;Melgaço;15;Pará;150020;Breves;1507;Breves;-1.8032;-50.7149;fora_do_escopo
1504059;Mãe do Rio;15;Pará;150007;Paragominas;1502;Castanhal;-2.05683;-47.5601;fora_do_escopo
1505494;Palestina do Pará;15;Pará;150009;Marabá;1503;Marabá;-5.74027;-48.3181;fora_do_escopo
1506187;Rondon do Pará;15;Pará;150009;Marabá;1503;Marabá;-4.77793;-48.067;fora_do_escopo
1507805;Senador José Porfírio;15;Pará;150018;Altamira;1506;Altamira;-4.31242;-51.5764;fora_do_escopo
1507409;São Francisco do Pará;15;Pará;150004;Castanhal;1502;Castanhal;-1.16963;-47.7917;fora_do_escopo
1507953;Tailândia;15;Pará;150003;Abaetetuba;1501;Belém;-2.94584;-48.9489;fora_do_escopo
1507961;Terra Alta;15;Pará;150004;Castanhal;1502;Castanhal;-1.02963;-47.9004;fora_do_escopo
1600204;Calçoene;16;Amapá;160003;Oiapoque;1602;Oiapoque - Porto Grande;2.50475;-50.9512;fora_do_escopo
1600279;Laranjal do Jari;16;Amapá;160002;Laranjal do Jari;1601;Macapá;-0.804911;-52.453;fora_do_escopo
1701903;Araguacema;17;Tocantins;170003;Paraíso do Tocantins;1701;Palmas;-8.80755;-49.5569;fora_do_escopo
1702554;Augustinópolis;17;Tocantins;170009;Araguatins;1702;Araguaína;-5.46863;-47.8863;fora_do_escopo
1703008;Babaçulândia;17;Tocantins;170005;Araguaína;1702;Araguaína;-7.20923;-47.7613;fora_do_escopo
1708304;Goianorte;17;Tocantins;170006;Guaraí;1702;Araguaína;-8.77413;-48.9313;fora_do_escopo
1709500;Gurupi;17;Tocantins;170010;Gurupi;1703;Gurupi;-11.7279;-49.068;fora_do_escopo
1711951;Lagoa do Tocantins;17;Tocantins;170001;Palmas;1701;Palmas;-10.368;-47.538;fora_do_escopo
1712504;Marianópolis do Tocantins;17;Tocantins;170003;Paraíso do Tocantins;1701;Palmas;-9.79377;-49.6553;fora_do_escopo
1713601;Monte do Carmo;17;Tocantins;170002;Porto Nacional;1701;Palmas;-10.7611;-48.1114;fora_do_escopo
1715754;Palmeirópolis;17;Tocantins;170010;Gurupi;1703;Gurupi;-13.0447;-48.4026;fora_do_escopo
1716505;Pedro Afonso;17;Tocantins;170006;Guaraí;1702;Araguaína;-8.97034;-48.1729;fora_do_escopo
1716604;Peixe;17;Tocantins;170010;Gurupi;1703;Gurupi;-12.0254;-48.5395;fora_do_escopo
1718501;Recursolândia;17;Tocantins;170006;Guaraí;1702;Araguaína;-8.7227;-47.2421;fora_do_escopo
1718709;Rio dos Bois;17;Tocantins;170004;Miracema do Tocantins;1701;Palmas;-9.34425;-48.5245;fora_do_escopo
1718840;Sandolândia;17;Tocantins;170010;Gurupi;1703;Gurupi;-12.538;-49.9242;fora_do_escopo
1720655;Silvanópolis;17;Tocantins;170002;Porto Nacional;1701;Palmas;-11.1471;-48.1694;fora_do_escopo
1720259;São Salvador do Tocantins;17;Tocantins;170010;Gurupi;1703;Gurupi;-12.7458;-48.2352;fora_do_escopo
1721257;Tupirama;17;Tocantins;170006;Guaraí;1702;Araguaína;-8.97168;-48.1883;fora_do_escopo
2100402;Altamira do Maranhão;21;Maranhão;210010;Bacabal;2102;Santa Inês - Bacabal;-4.16598;-45.4706;fora_do_escopo
2100832;Apicum-Açu;21;Maranhão;210008;Cururupu;2101;São Luís;-1.45862;-45.0864;fora_do_escopo
2103158;Centro do Guilherme;21;Maranhão;210011;Governador Nunes Freire;2102;Santa Inês - Bacabal;-2.44891;-46.0345;fora_do_escopo
2103208;Chapadinha;21;Maranhão;210003;Chapadinha;2101;São Luís;-3.73875;-43.3538;fora_do_escopo
2103307;Codó;21;Maranhão;210015;Codó;2103;Caxias;-4.45562;-43.8924;fora_do_escopo
2103554;Conceição do Lago-Açu;21;Maranhão;210010;Bacabal;2102;Santa Inês - Bacabal;-3.85142;-44.8895;fora_do_escopo
2104008;Esperantinópolis;21;Maranhão;210012;Pedreiras;2102;Santa Inês - Bacabal;-4.87938;-44.6926;fora_do_escopo
2105450;Jatobá;21;Maranhão;210018;Colinas;2104;Presidente Dutra;-5.82282;-44.2153;fora_do_escopo
2105658;Junco do Maranhão;21;Maranhão;210011;Governador Nunes Freire;2102;Santa Inês - Bacabal;-1.83888;-46.09;fora_do_escopo
2105708;Lago da Pedra;21;Maranhão;210010;Bacabal;2102;Santa Inês - Bacabal;-4.56974;-45.1319;fora_do_escopo
2106508;Matinha;21;Maranhão;210005;Viana;2101;São Luís;-3.09849;-45.035;fora_do_escopo
