ano;id_municipio;score_logistico_norm;score_economico_norm;score_demanda_norm;score_final_norm;vol_vendido_total_m3;vol_vendido_diesel_m3;vol_vendido_etanol_m3;vol_vendido_gasolina_m3;pct_diesel;pct_combustivel_leve;frota_pesada;frota_leve;combustivel_por_veiculo;diesel_por_veiculo_pesado;combustivel_por_veiculo_leve;vab_total;vab_agropecuaria;vab_industria;vab_servicos;atividade_1;atividade_2;atividade_3;pib;pib_per_capita;pib_per_capita_relativo;populacao;contribuicao_agro;contribuicao_industria;contribuicao_servicos
2015;3100104;0.2035284777330926;0.2676677663464547;0.0036939072376707413;0.2905676826592833;4914000.0;2446000.0;878500.0;1589500.0;0.49776149776149775;0.5022385022385022;218;3277;1375.3148614609572;11220.183486238531;753.1278608483369;153805.527;42401.874;25857.404;57768.769;Demais serviços;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;164480.415;23446.96;0.7995167436905072;204450.04802687847;0.2756849823738779;0.16811752155044465;0.37559618387445853
2015;3100203;0.37000907576271885;0.2652009512834365;0.0028114324300314774;0.4223636707492234;11164000.0;4806000.0;1722000.0;4636000.0;0.4304908634897886;0.5695091365102114;759;10429;973.4065742436132;6332.01581027668;609.6461789241538;315937.922;45169.832;25623.87;164927.245;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;339606.982;14429.87;0.4920434322520847;204450.04802687847;0.14297059281158403;0.08110412905735323;0.5220242127185986
2015;3100302;0.33596011664089726;0.2614538719353424;0.004369481209720078;0.39308650923120025;11315450.0;3927000.0;2982450.0;4406000.0;0.3470476207309475;0.6529523792690525;371;4858;2123.37211484331;10584.905660377359;1520.8830794565665;172827.423;36432.021;11537.368;76712.504;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;183092.095;13345.88;0.455080510193401;204450.04802687847;0.2108000013400651;0.0667565817954712;0.4438676609787788
2015;3100401;0.4397041389646307;0.2549473482511128;0.0018522204442157143;0.4696122692683398;1335000.0;313500.0;341500.0;680000.0;0.2348314606741573;0.7651685393258427;55;1510;841.2098298676749;5700.0;676.4900662251656;31047.95;2409.945;1587.23;10639.245;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;31874.203;7858.53;0.26796763059237366;204450.04802687847;0.07762010052193462;0.05112189371601023;0.3426714163092894
2015;3100500;0.3169905949402177;0.25552398717032077;0.0011770922539237282;0.3703907681341643;1248000.0;386000.0;127000.0;735000.0;0.3092948717948718;0.6907051282051282;104;2824;423.0508474576271;3711.5384615384614;305.24079320113316;79925.129;13098.494;12740.271;18173.474;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;81700.172;8057.22;0.27474275119665953;204450.04802687847;0.16388455250413173;0.15940257037308003;0.2273812282492531
2015;3100609;0.24216462081722617;0.2522273016976955;0.0022105448331128123;0.3081093561571377;2409990.0;841990.0;154000.0;1414000.0;0.34937489367175795;0.650625106328242;120;3046;754.536631183469;7016.583333333333;514.7734734077478;114414.209;29315.281;4994.673;30919.399;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;117977.696;8033.34;0.2739284682431624;204450.04802687847;0.25622063252650723;0.04365430695762621;0.270240901634866
2015;3100708;0.2105699923992458;0.26840424603224144;0.02184211457402772;0.3115138113177894;6782800.0;4465000.0;1051300.0;1266500.0;0.6582827151029074;0.34171728489709263;62;670;8831.770833333334;72016.12903225806;3459.402985074627;85796.187;42309.98;4735.878;24202.497;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;89178.695;43206.73;1.4733041756848202;204450.04802687847;0.4931452256730244;0.05519916636854735;0.2820929209826073
2015;3100807;0.5906053294043507;0.2560685238657755;0.002481788571593708;0.5929418295249163;2019500.0;637000.0;550500.0;832000.0;0.31542461005199307;0.6845753899480069;90;1349;1381.326949384405;7077.777777777777;1024.833209785026;47312.702;10779.455;2494.394;15649.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;49057.174;11225.9;0.3827914157313044;204450.04802687847;0.2278342716507715;0.05272144465560221;0.3307731188127873
2015;3100906;0.16520105346357816;0.2621330428724564;0.0039227792094704145;0.2553157695910094;5738500.0;2446500.0;491000.0;2801000.0;0.42633092271499523;0.5736690772850048;201;4370;1238.8816925734025;12171.641791044776;753.3180778032037;185917.804;10863.932;15601.373;89711.09;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;197508.548;10229.89;0.3488285193949272;204450.04802687847;0.058434059386803;0.08391543286516012;0.48253092533300357
2015;3101003;0.14428191854160527;0.26420671780094973;0.0007381706176347298;0.2375173795109066;1029500.0;256000.0;77500.0;696000.0;0.24866440019426905;0.751335599805731;144;1841;515.2652652652653;1777.7777777777778;420.15209125475286;152626.727;15476.266;8014.535;84128.498;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;168640.07;12541.09;0.42763801529620826;204450.04802687847;0.1013994488658595;0.05251069165625231;0.5512042330567699
2015;3101102;0.2193709821101767;0.26876029816101416;0.0034121739571610445;0.30402211110042054;10501655.0;2553000.0;2526995.0;5421660.0;0.24310453923691075;0.7568954607630892;296;8414;1193.2342915577776;8625.0;944.6939624435465;379703.074;39093.728;94557.187;156242.974;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;397551.6;15472.55;0.527597726638701;204450.04802687847;0.10295868186729508;0.24902929018688955;0.41148725069315606
