nome_municipio;id_municipio;pib_per_capita;vol_vendido_total_m3
Abadia dos Dourados;3100104;30356.59;3701800.0
Alpinópolis;3101904;33804.26;11798000.0
Andradas;3102605;36575.48;17099000.0
Araújos;3103900;50543.25;16477700.0
Areado;3104304;27379.57;6780700.0
Barão de Cocais;3105400;50268.69;27925500.0
Bom Jardim de Minas;3107505;22474.56;3730500.0
Buenópolis;3109204;20956.09;3692000.0
Buritizeiro;3109402;35635.57;30701500.0
Cambuquira;3110707;36965.69;6654000.0
Campos Altos;3111507;40439.11;9782500.0
Cana Verde;3111903;18099.99;1763000.0
Capim Branco;3112505;16835.91;3013700.0
Carmo do Rio Claro;3114402;40263.75;17649200.0
Carrancas;3114600;43049.31;1605000.0
Casa Grande;3114907;37016.39;517000.0
Cataguases;3115300;32290.72;18312800.0
Cedro do Abaeté;3115607;25878.78;305000.0
Central de Minas;3115706;16210.33;2325336.0
Cipotânea;3116308;14494.05;1016000.0
Claro dos Poções;3116506;15776.36;8505500.0
Comercinho;3117009;12639.05;845000.0
Conselheiro Pena;3118403;24052.58;6063699.0
Coronel Pacheco;3119609;26227.49;3627000.0
Cristina;3120508;30535.25;3275000.0
Cruzeiro da Fortaleza;3120706;52043.75;3691700.0
Cuparaque;3120839;20995.06;1327500.0
Córrego Fundo;3119955;82848.14;6621000.0
Desterro do Melo;3121506;20721.76;1434000.0
Divino;3122009;21385.58;6836161.0
Divisa Nova;3122405;26848.3;2095000.0
Elói Mendes;3123601;36009.33;11545000.0
Engenheiro Caldas;3123700;13866.2;11168500.0
Estrela do Indaiá;3124708;59125.42;1404000.0
Felisburgo;3125606;14080.51;1189000.0
Ferros;3125903;17054.14;2210000.0
Fronteira dos Vales;3127057;13301.8;511000.0
Funilândia;3127206;23719.13;616000.0
Gonçalves;3127404;26274.67;2398000.0
Governador Valadares;3127701;33488.48;167800580.0
Ibiracatu;3129657;12239.29;490000.0
Ijaci;3130408;85943.92;10950000.0
Itaobim;3133303;19630.93;21295100.0
Itaú de Minas;3133758;62415.85;11710400.0
Itumirim;3134301;16716.96;970500.0
Janaúba;3135100;27796.16;29134320.0
Januária;3135209;15970.66;16431965.0
Japaraíba;3135308;28045.89;1571500.0
Joanésia;3136108;27734.73;647000.0
Lambari;3137809;26399.91;7191000.0
Laranjal;3138005;19486.04;1060000.0
Leme do Prado;3138351;16965.23;1762500.0
Martinho Campos;3140506;41723.75;17767500.0
Materlândia;3140605;19364.05;644000.0
Medeiros;3141306;70047.41;2164000.0
Mercês;3141603;18257.81;5646360.0
Mirabela;3142007;14193.99;4938434.0
Moema;3142403;21214.14;8932300.0
Morro da Garça;3143609;26068.1;2577000.0
Natalândia;3144375;26363.44;1295500.0
Nova União;3136603;24892.45;11377000.0
Novorizonte;3145372;20256.74;1067000.0
Olaria;3145406;22969.85;481000.0
Ouro Fino;3146008;38131.46;12937316.0
Ouro Verde de Minas;3146206;15175.14;805993.0
Palma;3146701;20055.93;1153000.0
Pimenta;3150505;36723.85;8520000.0
Pratinha;3153004;64673.34;2348000.0
Presidente Kubitschek;3153301;14774.63;676000.0
Raul Soares;3154002;21257.87;5473000.0
Riachinho;3154457;27375.56;2908000.0
Rio Doce;3155009;43333.64;1050000.0
Rio Espera;3155207;13904.85;559500.0
Rio Manso;3155306;24834.57;14080610.0
Rio Paranaíba;3155504;79004.99;21286200.0
Santa Helena de Minas;3157658;11625.0;896000.0
Santa Rosa da Serra;3159704;35285.56;933500.0
Santana do Garambéu;3158706;22611.88;554000.0
Santana dos Montes;3159100;18604.03;599000.0
Santo Antônio do Itambé;3160207;15157.83;792000.0
Senador Modestino Gonçalves;3165909;23123.43;891000.0
Senhora do Porto;3166105;18281.72;698000.0
Senhora dos Remédios;3166204;13368.09;1802000.0
Seritinga;3166402;30107.98;1397000.0
Serranos;3167004;24281.41;570500.0
Setubinha;3165552;13619.09;2783000.0
São Domingos do Prata;3161007;23165.59;10177990.0
São Francisco de Paula;3161205;37466.67;1530000.0
São Francisco de Sales;3161304;43501.74;2694500.0
