nome_municipio;id_municipio;frota_pesada;pct_diesel
Abadia dos Dourados;3100104;325;0.44586417418553137
Alpinópolis;3101904;832;0.36743515850144093
Andradas;3102605;1605;0.3059243230598281
Araújos;3103900;213;0.6606990053223447
Areado;3104304;465;0.27342309791024527
Barão de Cocais;3105400;1059;0.7362625557286351
Bom Jardim de Minas;3107505;225;0.3629540276102399
Buenópolis;3109204;232;0.45774647887323944
Buritizeiro;3109402;707;0.8178786052798723
Cambuquira;3110707;361;0.2738202584911332
Campos Altos;3111507;731;0.5881932021466905
Cana Verde;3111903;183;0.316505955757232
Capim Branco;3112505;275;0.6362610744267844
Carmo do Rio Claro;3114402;755;0.6138975137683295
Carrancas;3114600;117;0.32897196261682243
Casa Grande;3114907;69;0.6382978723404256
Cataguases;3115300;1456;0.21252894150539514
Cedro do Abaeté;3115607;26;0.3475409836065574
Central de Minas;3115706;203;0.2955856701999195
Cipotânea;3116308;119;0.25984251968503935
Claro dos Poções;3116506;151;0.8452765857386397
Comercinho;3117009;83;0.2686390532544379
Conselheiro Pena;3118403;404;0.38659554176419375
Coronel Pacheco;3119609;56;0.2594430658946788
Cristina;3120508;189;0.38564885496183204
Cruzeiro da Fortaleza;3120706;181;0.6796326895468212
Cuparaque;3120839;103;0.26440677966101694
Córrego Fundo;3119955;603;0.7568343150581484
Desterro do Melo;3121506;135;0.3068340306834031
Divino;3122009;496;0.20947429412502133
Divisa Nova;3122405;242;0.3093078758949881
Elói Mendes;3123601;1093;0.42390645300996105
Engenheiro Caldas;3123700;260;0.6216143618211936
Estrela do Indaiá;3124708;76;0.4326923076923077
Felisburgo;3125606;53;0.27249789739276703
Ferros;3125903;264;0.4470588235294118
Fronteira dos Vales;3127057;27;0.2602739726027397
Funilândia;3127206;135;0.3782467532467532
Gonçalves;3127404;137;0.292743953294412
Governador Valadares;3127701;5321;0.5263005944317952
Ibiracatu;3129657;45;0.2795918367346939
Ijaci;3130408;652;0.8970776255707763
Itaobim;3133303;464;0.7692426896328264
Itaú de Minas;3133758;903;0.6359304549801885
Itumirim;3134301;150;0.4142194744976816
Janaúba;3135100;1375;0.33406717575697664
Januária;3135209;797;0.3183429370741722
Japaraíba;3135308;226;0.40789055042952593
Joanésia;3136108;64;0.3384853168469861
Lambari;3137809;745;0.22952301487971075
Laranjal;3138005;485;0.39764150943396226
Leme do Prado;3138351;81;0.4717730496453901
Martinho Campos;3140506;1210;0.7040382721260728
Materlândia;3140605;47;0.2670807453416149
Medeiros;3141306;161;0.49722735674676527
Mercês;3141603;341;0.4344391785150079
Mirabela;3142007;706;0.4322220363783337
Moema;3142403;408;0.6256507282558803
Morro da Garça;3143609;81;0.5587892898719441
Natalândia;3144375;83;0.4990351215746816
Nova União;3136603;319;0.7335853036828689
Novorizonte;3145372;150;0.3936269915651359
Olaria;3145406;56;0.4282744282744283
Ouro Fino;3146008;1176;0.26396510682741303
Ouro Verde de Minas;3146206;71;0.08932211570075671
Palma;3146701;142;0.30529054640069386
Pimenta;3150505;420;0.6285211267605634
Pratinha;3153004;180;0.5890119250425895
Presidente Kubitschek;3153301;62;0.35355029585798814
Raul Soares;3154002;579;0.3087885985748218
Riachinho;3154457;177;0.4659559834938102
Rio Doce;3155009;61;0.48333333333333334
Rio Espera;3155207;87;0.24396782841823056
Rio Manso;3155306;247;0.8251062986617768
Rio Paranaíba;3155504;824;0.6459490186129981
Santa Helena de Minas;3157658;36;0.23549107142857142
Santa Rosa da Serra;3159704;136;0.31012319228709156
Santana do Garambéu;3158706;49;0.4729241877256318
Santana dos Montes;3159100;79;0.35392320534223703
Santo Antônio do Itambé;3160207;47;0.2878787878787879
Senador Modestino Gonçalves;3165909;79;0.367003367003367
Senhora do Porto;3166105;59;0.39197707736389686
Senhora dos Remédios;3166204;307;0.2869034406215316
Seritinga;3166402;40;0.34216177523264135
Serranos;3167004;48;0.3312883435582822
Setubinha;3165552;129;0.49496945742005033
São Domingos do Prata;3161007;582;0.48595056587793856
São Francisco de Paula;3161205;180;0.33725490196078434
São Francisco de Sales;3161304;147;0.3687140471330488
São Geraldo do Baixio;3161650;38;0.4024896265560166
São João da Ponte;3162401;204;0.44528378930175583
São Sebastião da Bela Vista;3164407;226;0.8662181557526988
São Sebastião do Anta;3164472;122;0.3008985164031483
Taiobeiras;3168002;1973;0.3523609951314815
Tiros;3168903;335;0.5531559831157358
Tocos do Moji;3169059;106;0.42231075697211157
Turvolândia;3169802;243;0.49265536723163844
Uberlândia;3170206;22385;0.4967166324051288
Vermelho Novo;3171154;208;0.2127659574468085
Virginópolis;3171808;259;0.4610011641443539
Águas Vermelhas;3101003;230;0.9163195350896111
Aracruz;3200607;3614;0.7754569430149482
Domingos Martins;3201902;2042;0.7570564625187974
Governador Lindenberg;3202256;506;0.33492394870265435
Jerônimo Monteiro;3203106;211;0.4057247503888415
Marataízes;3203320;1295;0.2917514124293785
Pancas;3204005;494;0.3741126718018426
Rio Novo do Sul;3204401;598;0.5656849768365321
Santa Maria de Jetibá;3204559;4419;0.7237057832678271
São Mateus;3204906;2643;0.49751933992057645
Angra dos Reis;3300100;2240;0.41177622805184355
Itaperuna;3302205;1486;0.443013035634516
Mendes;3302809;379;0.22610015174506828
Nilópolis;3303203;1101;0.25521639526964274
Nova Friburgo;3303401;4750;0.27989310344844265
Silva Jardim;3305604;511;0.3108890057864282
Altinópolis;3501004;762;0.4252315685135181
Analândia;3502002;237;0.7331224375123542
Anhembi;3502309;193;0.5904129093497864
Aparecida d'Oeste;3502606;177;0.27399562951756595
Ariranha;3503703;574;0.23363148479427548
Bariri;3505203;1424;0.5538483538349667
Barra do Turvo;3505401;206;0.761072658990037
Birigui;3506508;2847;0.16321657914654225
Cafelândia;3508801;621;0.6529805824345303
Caiuá;3509106;125;0.40643863179074446
Cananéia;3509908;148;0.26445389584124923
Canas;3509957;180;0.7891974522292994
Cândido Mota;3510005;1611;0.600275288670759
Dumont;3514601;604;0.3409232688708671
Franca;3516200;6440;0.2266115833639168
Gastão Vidigal;3516804;168;0.26147704590818366
Guapiara;3517604;586;0.2546916890080429
Guariba;3518602;1537;0.5968742080374426
Gália;3516606;309;0.4644261708973901
Ibaté;3519303;1626;0.539738003433701
Igarapava;3520103;914;0.6663108302375564
Iracemápolis;3521408;1325;0.7583620284043743
Itapecerica da Serra;3522208;4604;0.6595927105467309
Itatiba;3523404;3782;0.3670277053376594
Itatinga;3523503;654;0.33810260376385665
Itobi;3523800;404;0.298050139275766
Jaborandi;3524204;375;0.33226837060702874
Joanópolis;3525508;629;0.23620594205572984
Lindóia;3527009;302;0.38284404498553287
Lorena;3527207;1467;0.531759071372787
Luís Antônio;3527603;712;0.8895590376574627
Mococa;3530508;2474;0.4471590934058871
Mongaguá;3531100;999;0.1327475818603575
Monte Alto;3531308;2182;0.3201465201465201
Nova Guataporanga;3533106;90;0.2659846547314578
Nova Odessa;3533403;1595;0.5721937781589655
