nome_municipio;cagr_vol_vendido_3a;id_municipio
Faria Lemos;1.584400601373913;3125309
Itinga;1.0501803821910984;3134004
Araçaí;0.8420157493201932;3103207
Monjolos;0.8018163971614036;3142502
Bálsamo;0.7028976116383543;3504800
Guarani d'Oeste;0.6744084278445923;3518008
Anhembi;0.6267464607609652;3502309
Américo Brasiliense;0.5306312734000367;3501707
Salto Grande;0.4876554028671376;3545407
José Raydan;0.4841359210205942;3136553
Sagres;0.4727879699613686;3544707
Conceição do Pará;0.4663480708049059;3117603
Gastão Vidigal;0.460994054664827;3516804
Rio Novo do Sul;0.4334686456643806;3204401
Dona Euzébia;0.4119495632487047;3122900
Bertópolis;0.37468957075440357;3106606
Guarani;0.37439512027748356;3128402
Narandiba;0.3729807473206763;3532207
Vieiras;0.37277555249936856;3171402
Turmalina;0.36029437121036767;3169703
