nome_municipio;status_atendimento;score_final_norm
Sarzedo;nao_atendido;0.6652368898710962
Mário Campos;nao_atendido;0.6450378074270422
São Joaquim de Bicas;nao_atendido;0.6424068813685575
Igarapé;nao_atendido;0.6234196300910467
São Francisco de Paula;nao_atendido;0.6158273119392128
Brumadinho;nao_atendido;0.6127613839597713
Carmo da Mata;nao_atendido;0.6100018412755618
Ibirité;nao_atendido;0.60679097955669
Confins;nao_atendido;0.5648951853440138
Esmeraldas;nao_atendido;0.5614867495621921
Nova Lima;nao_atendido;0.5546268012164108
Florestal;nao_atendido;0.5539138260465291
Cláudio;nao_atendido;0.5492992963494058
Rio Manso;nao_atendido;0.5183471819779923
Passa Tempo;nao_atendido;0.5148580928923387
Catas Altas;nao_atendido;0.5130741815899883
Jeceaba;nao_atendido;0.5130622585884538
Camacho;nao_atendido;0.5102898662497687
Itabirito;nao_atendido;0.5024489640557005
Sabará;nao_atendido;0.5023845797861521
