ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;RO;ETANOL;1100015;ALTA FLORESTA D'OESTE;167671
1990;REGIÃO NORTE;RO;ETANOL;1100023;ARIQUEMES;5274580
1990;REGIÃO NORTE;RO;ETANOL;1100049;CACOAL;2892799
1990;REGIÃO NORTE;RO;ETANOL;1100288;ROLIM DE MOURA;1437670
1990;REGIÃO NORTE;RO;ETANOL;1100056;CEREJEIRAS;272550
1990;REGIÃO NORTE;RO;ETANOL;1100064;COLORADO DO OESTE;594634
1990;REGIÃO NORTE;RO;ETANOL;1100080;COSTA MARQUES;401680
1990;REGIÃO NORTE;RO;ETANOL;1100098;ESPIGAO D'OESTE;469850
1990;REGIÃO NORTE;RO;ETANOL;1100106;GUAJARA-MIRIM;2201497
1990;REGIÃO NORTE;RO;ETANOL;1100114;JARU;1639532
1990;REGIÃO NORTE;RO;ETANOL;1100122;JI-PARANA;4931990
1990;REGIÃO NORTE;RO;ETANOL;1100130;MACHADINHO D'OESTE;29736
1990;REGIÃO NORTE;RO;ETANOL;1100148;NOVA BRASILANDIA D'OES;90750
1990;REGIÃO NORTE;RO;ETANOL;1100155;OURO PRETO DO OESTE;1409432
1990;REGIÃO NORTE;RO;ETANOL;1100189;PIMENTA BUENO;2582624
1990;REGIÃO NORTE;RO;ETANOL;1100205;PORTO VELHO;36619681
1990;REGIÃO NORTE;RO;ETANOL;1100304;VILHENA;3830143
1990;REGIÃO NORTE;RO;ETANOL;1100346;ALVORADA D'OESTE;132251
1990;REGIÃO NORTE;RO;ETANOL;1100254;PRESIDENTE MEDICI;856523
1990;REGIÃO NORTE;AC;ETANOL;1200104;BRASILEIA;228400
1990;REGIÃO NORTE;AC;ETANOL;1200203;CRUZEIRO DO SUL;292350
1990;REGIÃO NORTE;AC;ETANOL;1200385;PLACIDO DE CASTRO;138971
1990;REGIÃO NORTE;AC;ETANOL;1200401;RIO BRANCO;10782161
1990;REGIÃO NORTE;AC;ETANOL;1200450;SENADOR GUIOMARD;638681
1990;REGIÃO NORTE;AC;ETANOL;1200500;SENA MADUREIRA;79456
1990;REGIÃO NORTE;AC;ETANOL;1200708;XAPURI;49644
1990;REGIÃO NORTE;AM;ETANOL;1300144;APUI;49150
1990;REGIÃO NORTE;AM;ETANOL;1300706;BOCA DO ACRE;59516
1990;REGIÃO NORTE;AM;ETANOL;1300904;CANUTAMA;9024
1990;REGIÃO NORTE;AM;ETANOL;1301100;CAREIRO;63800
1990;REGIÃO NORTE;AM;ETANOL;1301704;HUMAITA;546298
1990;REGIÃO NORTE;AM;ETANOL;1301852;IRANDUBA;113905
1990;REGIÃO NORTE;AM;ETANOL;1301902;ITACOATIARA;581555
1990;REGIÃO NORTE;AM;ETANOL;1302504;MANACAPURU;361713
1990;REGIÃO NORTE;AM;ETANOL;1302603;MANAUS;74111142
1990;REGIÃO NORTE;AM;ETANOL;1302702;MANICORE;5364
1990;REGIÃO NORTE;AM;ETANOL;1302801;MARAA;11870
1990;REGIÃO NORTE;AM;ETANOL;1302900;MAUES;49484
1990;REGIÃO NORTE;AM;ETANOL;1303304;NOVO ARIPUANA;10000
1990;REGIÃO NORTE;AM;ETANOL;1303403;PARINTINS;177335
1990;REGIÃO NORTE;AM;ETANOL;1303536;PRESIDENTE FIGUEIREDO;637339
1990;REGIÃO NORTE;AM;ETANOL;1303569;RIO PRETO DA EVA;128867
1990;REGIÃO NORTE;AM;ETANOL;1303809;SAO GABRIEL DA CACHOEI;49482
1990;REGIÃO NORTE;AM;ETANOL;1304062;TABATINGA;29704
1990;REGIÃO NORTE;AM;ETANOL;1304203;TEFE;29711
1990;REGIÃO NORTE;RR;ETANOL;1400100;BOA VISTA;7835856
1990;REGIÃO NORTE;RR;ETANOL;1400209;CARACARAI;121979
1990;REGIÃO NORTE;RR;ETANOL;1400308;MUCAJAI;94194
1990;REGIÃO NORTE;PA;ETANOL;1500107;ABAETETUBA;284577
1990;REGIÃO NORTE;PA;ETANOL;1500206;ACARA;599352
1990;REGIÃO NORTE;PA;ETANOL;1500404;ALENQUER;69000
1990;REGIÃO NORTE;PA;ETANOL;1500503;ALMEIRIM;1031200
1990;REGIÃO NORTE;PA;ETANOL;1500602;ALTAMIRA;1832137
1990;REGIÃO NORTE;PA;ETANOL;1500800;ANANINDEUA;12074134
1990;REGIÃO NORTE;PA;ETANOL;1501303;BARCARENA;1794886
1990;REGIÃO NORTE;PA;ETANOL;1501402;BELEM;79579011
1990;REGIÃO NORTE;PA;ETANOL;1501501;BENEVIDES;1567275
1990;REGIÃO NORTE;PA;ETANOL;1501576;BOM JESUS DO TOCANTINS;14687
1990;REGIÃO NORTE;PA;ETANOL;1501709;BRAGANCA;1159442
1990;REGIÃO NORTE;PA;ETANOL;1501907;BUJARU;98519
1990;REGIÃO NORTE;PA;ETANOL;1502103;CAMETA;6019
1990;REGIÃO NORTE;PA;ETANOL;1502202;CAPANEMA;1859994
1990;REGIÃO NORTE;PA;ETANOL;1502301;CAPITAO POCO;390084
1990;REGIÃO NORTE;PA;ETANOL;1502400;CASTANHAL;4915988
1990;REGIÃO NORTE;PA;ETANOL;1502707;CONCEICAO DO ARAGUAIA;1166236
1990;REGIÃO NORTE;PA;ETANOL;1502756;CONCORDIA DO PARA;16843
1990;REGIÃO NORTE;PA;ETANOL;1502772;CURIONOPOLIS;337086
1990;REGIÃO NORTE;PA;ETANOL;1502905;CURUCA;14892
1990;REGIÃO NORTE;PA;ETANOL;1502939;DOM ELISEU;472681
1990;REGIÃO NORTE;PA;ETANOL;1503077;GARRAFAO DO NORTE;4200
1990;REGIÃO NORTE;PA;ETANOL;1503200;IGARAPE-ACU;340189
1990;REGIÃO NORTE;PA;ETANOL;1503309;IGARAPE-MIRI;115000
1990;REGIÃO NORTE;PA;ETANOL;1503507;IRITUIA;808910
1990;REGIÃO NORTE;PA;ETANOL;1503606;ITAITUBA;4902645
1990;REGIÃO NORTE;PA;ETANOL;1503705;ITUPIRANGA;202913
1990;REGIÃO NORTE;PA;ETANOL;1503804;JACUNDA;681627
1990;REGIÃO NORTE;PA;ETANOL;1504208;MARABA;6778457
1990;REGIÃO NORTE;PA;ETANOL;1504307;MARACANA;52250
1990;REGIÃO NORTE;PA;ETANOL;1504406;MARAPANIM;60469
1990;REGIÃO NORTE;PA;ETANOL;1504703;MOJU;574234
1990;REGIÃO NORTE;PA;ETANOL;1504802;MONTE ALEGRE;136558
1990;REGIÃO NORTE;PA;ETANOL;1505007;NOVA TIMBOTEUA;478458
1990;REGIÃO NORTE;PA;ETANOL;1505106;OBIDOS;114704
1990;REGIÃO NORTE;PA;ETANOL;1505304;ORIXIMINA;1087212
1990;REGIÃO NORTE;PA;ETANOL;1505403;OUREM;464950
1990;REGIÃO NORTE;PA;ETANOL;1505437;OURILANDIA DO NORTE;77407
1990;REGIÃO NORTE;PA;ETANOL;1505486;PACAJA;102368
1990;REGIÃO NORTE;PA;ETANOL;1505502;PARAGOMINAS;3410347
1990;REGIÃO NORTE;PA;ETANOL;1505536;PARAUAPEBAS;1670360
1990;REGIÃO NORTE;PA;ETANOL;1505809;PORTEL;32882
1990;REGIÃO NORTE;PA;ETANOL;1506005;PRAINHA;307859
1990;REGIÃO NORTE;PA;ETANOL;1506104;PRIMAVERA;357612
1990;REGIÃO NORTE;PA;ETANOL;1506138;REDENCAO;3423725
1990;REGIÃO NORTE;PA;ETANOL;1506161;RIO MARIA;482480
1990;REGIÃO NORTE;PA;ETANOL;1506187;RONDON DO PARA;615757
1990;REGIÃO NORTE;PA;ETANOL;1506195;RUROPOLIS;35252
1990;REGIÃO NORTE;PA;ETANOL;1506203;SALINOPOLIS;2043120
1990;REGIÃO NORTE;PA;ETANOL;1506302;SALVATERRA;9907
1990;REGIÃO NORTE;PA;ETANOL;1506500;SANTA ISABEL DO PARA;1382063
1990;REGIÃO NORTE;PA;ETANOL;1506583;SANTA MARIA DAS BARREI;6683
1990;REGIÃO NORTE;PA;ETANOL;1506609;SANTA MARIA DO PARA;426353
1990;REGIÃO NORTE;PA;ETANOL;1506708;SANTANA DO ARAGUAIA;849625
1990;REGIÃO NORTE;PA;ETANOL;1506807;SANTAREM;7372058
1990;REGIÃO NORTE;PA;ETANOL;1507003;SANTO ANTONIO DO TAUA;114608
1990;REGIÃO NORTE;PA;ETANOL;1507201;SAO DOMINGOS DO CAPIM;556123
1990;REGIÃO NORTE;PA;ETANOL;1507300;SAO FELIX DO XINGU;1454225
1990;REGIÃO NORTE;PA;ETANOL;1507409;SAO FRANCISCO DO PARA;327450
1990;REGIÃO NORTE;PA;ETANOL;1507508;SAO JOAO DO ARAGUAIA;291172
