ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;RO;GASOLINA C;1100015;ALTA FLORESTA D'OESTE;432968
1990;REGIÃO NORTE;RO;GASOLINA C;1100023;ARIQUEMES;6561925
1990;REGIÃO NORTE;RO;GASOLINA C;1100049;CACOAL;3991929
1990;REGIÃO NORTE;RO;GASOLINA C;1100288;ROLIM DE MOURA;2165472
1990;REGIÃO NORTE;RO;GASOLINA C;1100056;CEREJEIRAS;1240090
1990;REGIÃO NORTE;RO;GASOLINA C;1100064;COLORADO DO OESTE;1349718
1990;REGIÃO NORTE;RO;GASOLINA C;1100080;COSTA MARQUES;1535000
1990;REGIÃO NORTE;RO;GASOLINA C;1100098;ESPIGAO D'OESTE;895700
1990;REGIÃO NORTE;RO;GASOLINA C;1100106;GUAJARA-MIRIM;6129976
1990;REGIÃO NORTE;RO;GASOLINA C;1100114;JARU;2349386
1990;REGIÃO NORTE;RO;GASOLINA C;1100122;JI-PARANA;5157922
1990;REGIÃO NORTE;RO;GASOLINA C;1100130;MACHADINHO D'OESTE;49545
1990;REGIÃO NORTE;RO;GASOLINA C;1100148;NOVA BRASILANDIA D'OES;205000
1990;REGIÃO NORTE;RO;GASOLINA C;1100155;OURO PRETO DO OESTE;2721808
1990;REGIÃO NORTE;RO;GASOLINA C;1100189;PIMENTA BUENO;3280915
1990;REGIÃO NORTE;RO;GASOLINA C;1100205;PORTO VELHO;40943062
1990;REGIÃO NORTE;RO;GASOLINA C;1100304;VILHENA;3970984
1990;REGIÃO NORTE;RO;GASOLINA C;1100346;ALVORADA D'OESTE;186895
1990;REGIÃO NORTE;RO;GASOLINA C;1100254;PRESIDENTE MEDICI;1487442
1990;REGIÃO NORTE;AC;GASOLINA C;1200104;BRASILEIA;869241
1990;REGIÃO NORTE;AC;GASOLINA C;1200203;CRUZEIRO DO SUL;1306577
1990;REGIÃO NORTE;AC;GASOLINA C;1200302;FEIJO;193740
