ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100015;ALTA FLORESTA D'OESTE;1853283
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100023;ARIQUEMES;38369222
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100049;CACOAL;16574585
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100288;ROLIM DE MOURA;16655510
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100056;CEREJEIRAS;3466760
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100064;COLORADO DO OESTE;7055260
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100080;COSTA MARQUES;8872504
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100098;ESPIGAO D'OESTE;3338850
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100106;GUAJARA-MIRIM;35046590
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100114;JARU;17745288
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100122;JI-PARANA;52175773
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100130;MACHADINHO D'OESTE;310164
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100148;NOVA BRASILANDIA D'OES;691750
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100155;OURO PRETO DO OESTE;16213224
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100189;PIMENTA BUENO;37489160
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100205;PORTO VELHO;261801911
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100304;VILHENA;52430987
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100346;ALVORADA D'OESTE;1414201
1990;REGIÃO NORTE;RO;ÓLEO DIESEL;1100254;PRESIDENTE MEDICI;5886929
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200104;BRASILEIA;3463147
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200203;CRUZEIRO DO SUL;7896225
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200302;FEIJO;2440134
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200336;MANCIO LIMA;109303
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200385;PLACIDO DE CASTRO;1585107
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200807;PORTO ACRE;59546
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200401;RIO BRANCO;50558700
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200450;SENADOR GUIOMARD;3186748
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200500;SENA MADUREIRA;1404858
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200609;TARAUACA;2471123
1990;REGIÃO NORTE;AC;ÓLEO DIESEL;1200708;XAPURI;1550254
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300102;ANORI;1628417
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300144;APUI;960636
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300300;AUTAZES;1554866
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300409;BARCELOS;481628
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300508;BARREIRINHA;514561
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300607;BENJAMIN CONSTANT;2022219
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300706;BOCA DO ACRE;3805376
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300805;BORBA;1439454
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1300904;CANUTAMA;525997
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301001;CARAUARI;1733352
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301100;CAREIRO;2423098
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301209;COARI;13692266
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301308;CODAJAS;1845616
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301407;EIRUNEPE;5277148
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301506;ENVIRA;1473659
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301704;HUMAITA;6723715
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301803;IPIXUNA;359063
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301852;IRANDUBA;4570837
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1301902;ITACOATIARA;16031666
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302009;ITAPIRANGA;456339
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302108;JAPURA;178611
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302207;JURUA;123970
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302405;LABREA;5604603
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302504;MANACAPURU;10075089
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302603;MANAUS;229876029
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302702;MANICORE;2265210
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302801;MARAA;148680
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1302900;MAUES;4704957
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303007;NHAMUNDA;999502
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303106;NOVA OLINDA DO NORTE;1106303
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303205;NOVO AIRAO;15000
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303304;NOVO ARIPUANA;2505341
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303403;PARINTINS;10994165
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303502;PAUINI;1036673
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303536;PRESIDENTE FIGUEIREDO;21356333
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303569;RIO PRETO DA EVA;258466
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1303809;SAO GABRIEL DA CACHOEI;2604054
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1304062;TABATINGA;60000
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1304104;TAPAUA;599877
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1304203;TEFE;5773655
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1304302;URUCARA;1962353
1990;REGIÃO NORTE;AM;ÓLEO DIESEL;1304401;URUCURITUBA;601164
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400050;ALTO ALEGRE;1014579
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400100;BOA VISTA;73060899
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400506;SAO JOAO DA BALIZA;710471
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400209;CARACARAI;4475705
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400308;MUCAJAI;1479237
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400407;NORMANDIA;402786
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400605;SAO LUIZ;450678
1990;REGIÃO NORTE;RR;ÓLEO DIESEL;1400159;BONFIM;751263
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500107;ABAETETUBA;4389418
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500206;ACARA;6030041
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500305;AFUA;1505031
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500404;ALENQUER;3694142
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500503;ALMEIRIM;27098945
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500602;ALTAMIRA;18055944
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500800;ANANINDEUA;45731550
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1500909;AUGUSTO CORREA;293620
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1501006;AVEIRO;218370
