id_municipio;nome_municipio;atendido
3106200;Belo Horizonte;1
3118601;Contagem;1
3106705;Betim;1
3140704;Mateus Leme;1
3154606;Ribeirão das Neves;1
3136652;Juatuba;1
3147105;Pará de Minas;1
3130200;Igaratinga;1
3132206;Itaguara;1
3114501;Carmópolis de Minas;1
3145604;Oliveira;1
3133709;Itatiaiuçu;1
3133808;Itaúna;1
3122306;Divinópolis;1
3161809;São Gonçalo do Pará;1
3145208;Nova Serrana;1
3138203;Lavras;1
3159902;Santo Antônio do Amparo;1
3149903;Perdões;1
3169307;Três Corações;1
3113909;Carmo da Cachoeira;1
3170701;Varginha;1
